,age,workclass,fnlwgt,education,education_num,marital_status,post,relationship,nation,gender,capital_gain,capital_loss,hours_per_week,country,wealth
58,46, Private,51618, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, F,0,0,40, United-States, lowerCase
59,59, Private,159937, HS-grad,9, Married-civ-spouse, Sales, Husband, White, M,0,0,48, United-States, lowerCase
60,44, Private,343591, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, F,14344,0,40, United-States, upperCase
61,49, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, M,0,0,40, United-States, upperCase
62,30, Private,54334, 9th,5, Never-married, Sales, Not-in-family, White, M,0,0,40, United-States, lowerCase
63,43, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, F,0,0,50, United-States, upperCase
64,57, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,40, United-States, lowerCase
65,28, Private,212563, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, F,0,0,25, United-States, lowerCase
67,34, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, M,0,0,40, United-States, upperCase
68,29, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, M,0,0,50, United-States, lowerCase
69,48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, M,0,1902,60, United-States, upperCase
70,37, Private,202683, Some-college,10, Married-civ-spouse, Sales, Husband, White, M,0,0,48, United-States, upperCase
71,48, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, F,0,0,40, England, lowerCase
72,76, Private,124191, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, M,0,0,40, United-States, upperCase
73,32, Self-emp-inc,317660, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, M,7688,0,40, United-States, upperCase
75,30, Private,194901, 11th,7, Never-married, Handlers-cleaners, Own-child, White, M,0,0,40, United-States, lowerCase
76,42, Private,124692, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, M,0,0,40, United-States, lowerCase
77,24, Private,432376, Bachelors,13, Never-married, Sales, Other-relative, White, M,0,0,40, United-States, lowerCase
78,38, Private,65324, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,40, United-States, upperCase
79,56, Self-emp-not-inc,335605, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, M,0,1887,50, Canada, upperCase
80,28, Private,377869, Some-college,10, Married-civ-spouse, Sales, Wife, White, F,4064,0,25, United-States, lowerCase
81,36, Private,102864, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, F,0,0,40, United-States, lowerCase
82,53, Private,95647, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, M,0,0,50, United-States, lowerCase
83,56, Self-emp-inc,303090, Some-college,10, Married-civ-spouse, Sales, Husband, White, M,0,0,50, United-States, lowerCase
84,55, Private,247552, Some-college,10, Married-civ-spouse, Sales, Husband, White, M,0,0,56, United-States, lowerCase
85,22, Private,102632, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, M,0,0,41, United-States, lowerCase
86,21, Private,199915, Some-college,10, Never-married, Other-service, Own-child, White, F,0,0,40, United-States, lowerCase
87,30, Private,77143, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, M,0,0,40, Germany, lowerCase
88,29, State-gov,267989, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,50, United-States, upperCase
89,19, Private,301606, Some-college,10, Never-married, Other-service, Own-child, Black, M,0,0,35, United-States, lowerCase
90,47, Private,287828, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, F,0,0,40, United-States, upperCase
91,20, Private,111697, Some-college,10, Never-married, Adm-clerical, Own-child, White, F,0,1719,28, United-States, lowerCase
92,31, Private,114937, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, M,0,0,40, United-States, upperCase
94,28, Private,69621, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, F,0,0,60, United-States, lowerCase
95,38, Self-emp-not-inc,120985, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, M,4386,0,35, United-States, lowerCase
96,37, Private,254202, Bachelors,13, Married-civ-spouse, Sales, Husband, White, M,0,0,50, United-States, lowerCase
97,46, Private,146195, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, F,0,0,36, United-States, lowerCase
98,38, Federal-gov,125933, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,40, Iran, upperCase
99,43, Self-emp-not-inc,56920, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, M,0,0,60, United-States, lowerCase
100,27, Private,163127, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, F,0,0,35, United-States, lowerCase
101,20, Private,34310, Some-college,10, Never-married, Sales, Own-child, White, M,0,0,20, United-States, lowerCase
102,49, Private,81973, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, M,0,0,40, United-States, upperCase
103,61, Self-emp-inc,66614, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, M,0,0,40, United-States, lowerCase
104,19, Private,316868, Some-college,10, Never-married, Other-service, Own-child, White, M,0,0,30, Mexico, lowerCase
105,45, Private,196584, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, F,0,1564,40, United-States, upperCase
106,70, Private,105376, Some-college,10, Never-married, Tech-support, Other-relative, White, M,0,0,40, United-States, lowerCase
107,31, Private,185814, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, F,0,0,30, United-States, lowerCase
108,22, Private,175374, Some-college,10, Married-civ-spouse, Other-service, Husband, White, M,0,0,24, United-States, lowerCase
110,47, Local-gov,186009, Some-college,10, Divorced, Adm-clerical, Unmarried, White, F,0,0,38, Mexico, lowerCase
111,34, Private,198183, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, F,0,0,40, United-States, lowerCase
112,33, Private,163003, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, F,0,0,40, Philippines, lowerCase
113,21, Private,296158, HS-grad,9, Never-married, Craft-repair, Own-child, White, M,0,0,35, United-States, lowerCase
115,48, Private,187715, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, M,0,0,46, United-States, lowerCase
116,23, Private,214542, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, M,0,0,40, United-States, lowerCase
117,29, Private,191535, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, M,0,0,60, United-States, lowerCase
118,42, Private,228456, Bachelors,13, Separated, Other-service, Other-relative, Black, M,0,0,50, United-States, lowerCase
119,25, Private,252752, HS-grad,9, Never-married, Other-service, Unmarried, White, F,0,0,40, United-States, lowerCase
120,28, Private,88419, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, F,0,0,40, England, lowerCase
121,46, State-gov,102628, Masters,14, Widowed, Protective-serv, Unmarried, White, M,0,0,40, United-States, lowerCase
122,18, Private,25828, 11th,7, Never-married, Handlers-cleaners, Own-child, White, M,0,0,16, United-States, lowerCase
123,66, Local-gov,54826, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, F,0,0,20, United-States, lowerCase
124,27, Private,124953, HS-grad,9, Never-married, Other-service, Not-in-family, White, M,0,1980,40, United-States, lowerCase
125,28, State-gov,175325, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, M,0,0,40, United-States, lowerCase
126,51, Private,96062, Some-college,10, Married-civ-spouse, Sales, Husband, White, M,0,1977,40, United-States, upperCase
127,27, Private,428030, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, M,0,0,50, United-States, lowerCase
128,28, State-gov,149624, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,40, United-States, upperCase
129,27, Private,253814, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, F,0,0,25, United-States, lowerCase
130,21, Private,312956, HS-grad,9, Never-married, Craft-repair, Own-child, Black, M,0,0,40, United-States, lowerCase
131,34, Private,483777, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, M,0,0,40, United-States, lowerCase
132,18, Private,183930, HS-grad,9, Never-married, Other-service, Own-child, White, M,0,0,12, United-States, lowerCase
133,33, Private,37274, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,65, United-States, lowerCase
134,44, Local-gov,181344, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, M,0,0,38, United-States, upperCase
135,43, Private,114580, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, F,0,0,40, United-States, lowerCase
136,30, Private,633742, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, M,0,0,45, United-States, lowerCase
137,40, Private,286370, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, M,0,0,40, Mexico, upperCase
138,37, Federal-gov,29054, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, M,0,0,42, United-States, upperCase
139,34, Private,304030, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, M,0,0,40, United-States, lowerCase
140,41, Self-emp-not-inc,143129, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, F,0,0,40, United-States, lowerCase
141,58, State-gov,109567, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,1, United-States, upperCase
142,24, Private,159567, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, M,0,0,40, United-States, lowerCase
143,41, Local-gov,523910, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, M,0,0,40, United-States, lowerCase
144,47, Private,120939, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, M,0,0,45, United-States, lowerCase
145,41, Federal-gov,130760, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, M,0,0,24, United-States, lowerCase
146,36, Private,99374, Some-college,10, Divorced, Craft-repair, Not-in-family, White, M,0,0,40, United-States, lowerCase
147,40, Federal-gov,56795, Masters,14, Never-married, Exec-managerial, Not-in-family, White, F,14084,0,55, United-States, upperCase
148,35, Private,138992, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, M,7298,0,40, United-States, upperCase
149,24, Self-emp-not-inc,32921, HS-grad,9, Never-married, Sales, Not-in-family, White, M,0,0,40, United-States, lowerCase
150,26, Private,397317, Masters,14, Never-married, Prof-specialty, Not-in-family, White, F,0,1876,40, United-States, lowerCase
151,51, Private,259323, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, M,0,0,50, United-States, upperCase
152,42, Local-gov,254817, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, F,0,1340,40, United-States, lowerCase
153,37, State-gov,48211, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, F,0,0,35, United-States, lowerCase
154,18, Private,140164, 11th,7, Never-married, Sales, Own-child, White, F,0,0,40, United-States, lowerCase
155,35, Private,36270, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, M,0,0,60, United-States, lowerCase
156,17, Private,65368, 11th,7, Never-married, Sales, Own-child, White, F,0,0,12, United-States, lowerCase
157,44, Local-gov,160943, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, M,0,0,40, United-States, lowerCase
158,54, Self-emp-inc,125417, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, M,0,0,40, United-States, upperCase
159,38, Private,182609, Bachelors,13, Married-civ-spouse, Sales, Husband, White, M,0,0,50, Poland, lowerCase
160,31, Private,197860, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, M,0,0,40, United-States, lowerCase
162,90, Private,51744, HS-grad,9, Never-married, Other-service, Not-in-family, Black, M,0,2206,40, United-States, lowerCase
163,54, Private,176681, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, M,0,0,20, United-States, lowerCase
164,53, Local-gov,140359, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, F,0,0,35, United-States, lowerCase
165,18, Private,243313, HS-grad,9, Never-married, Sales, Own-child, White, F,0,0,40, United-States, lowerCase
167,75, Private,314209, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, F,0,0,20, Columbia, lowerCase
168,35, Private,538583, 11th,7, Separated, Transport-moving, Not-in-family, Black, M,3674,0,40, United-States, lowerCase
169,41, Private,130408, HS-grad,9, Divorced, Sales, Unmarried, Black, F,0,0,38, United-States, lowerCase
170,25, Private,159732, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, M,0,0,42, United-States, lowerCase
171,33, Private,110978, Some-college,10, Divorced, Craft-repair, Other-relative, Other, F,0,0,40, United-States, lowerCase
172,28, Private,76714, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, M,0,0,55, United-States, upperCase
173,59, State-gov,268700, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, M,0,0,40, United-States, lowerCase
174,40, State-gov,170525, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, F,0,0,38, United-States, lowerCase
175,38, Local-gov,115076, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, M,0,0,70, United-States, upperCase
176,23, Private,115458, HS-grad,9, Never-married, Transport-moving, Own-child, White, M,0,0,40, United-States, lowerCase
177,41, Self-emp-not-inc,196001, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, F,0,0,20, United-States, lowerCase
178,24, State-gov,273905, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, M,0,0,50, United-States, lowerCase
179,38, Private,179488, Some-college,10, Divorced, Craft-repair, Not-in-family, White, M,0,1741,40, United-States, lowerCase
181,58, Private,236596, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, M,0,0,45, United-States, upperCase
182,32, Private,183916, HS-grad,9, Never-married, Other-service, Not-in-family, White, F,0,0,34, United-States, lowerCase
183,40, Private,207578, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, M,0,1977,60, United-States, upperCase
185,41, Private,112763, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, F,0,0,40, United-States, upperCase
186,42, Private,390781, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, F,0,0,40, United-States, lowerCase
187,59, Local-gov,171328, 10th,6, Widowed, Other-service, Unmarried, Black, F,0,0,30, United-States, lowerCase
188,19, Local-gov,27382, Some-college,10, Never-married, Adm-clerical, Own-child, White, M,0,0,40, United-States, lowerCase
189,42, Self-emp-not-inc,303044, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, M,0,0,40, Cambodia, upperCase
190,32, Private,172579, HS-grad,9, Separated, Other-service, Not-in-family, White, F,0,0,30, United-States, lowerCase
191,45, Private,187666, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, F,0,0,45, United-States, lowerCase
192,50, Private,204518, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, M,0,0,40, United-States, lowerCase
193,36, Private,150042, Bachelors,13, Divorced, Prof-specialty, Own-child, White, F,0,0,40, United-States, lowerCase
194,45, Private,98092, HS-grad,9, Married-civ-spouse, Sales, Husband, White, M,0,0,60, United-States, lowerCase
195,59, Private,146013, Some-college,10, Married-civ-spouse, Sales, Husband, White, M,4064,0,40, United-States, lowerCase
197,64, Private,21174, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, M,0,0,40, United-States, upperCase
198,33, Private,222205, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, F,0,0,40, United-States, upperCase
199,61, Private,69867, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, M,0,0,40, United-States, upperCase
200,50, Self-emp-not-inc,30653, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White, M,2407,0,98, United-States, lowerCase
201,30, Private,70377, HS-grad,9, Divorced, Prof-specialty, Own-child, White, F,0,0,40, United-States, lowerCase
202,43, Private,477983, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, M,0,0,40, United-States, lowerCase
203,44, Private,170924, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, M,7298,0,40, United-States, upperCase
204,35, Private,190174, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, F,0,0,40, United-States, lowerCase
205,24, Private,279472, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, F,7298,0,48, United-States, upperCase
206,22, Private,34918, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, F,0,0,15, Germany, lowerCase
207,42, Local-gov,97688, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, M,5178,0,40, United-States, upperCase
208,60, Private,173960, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, F,0,0,42, United-States, lowerCase
209,21, Private,205759, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, M,0,0,40, United-States, lowerCase
210,57, Federal-gov,425161, Masters,14, Married-civ-spouse, Sales, Husband, White, M,15024,0,40, United-States, upperCase
211,41, Private,220531, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,60, United-States, upperCase
212,25, Private,371987, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, F,0,0,40, United-States, lowerCase
213,36, Private,200352, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, M,0,0,45, United-States, lowerCase
214,31, Private,127595, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, F,0,0,40, United-States, lowerCase
215,29, Local-gov,220419, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, M,0,0,56, United-States, lowerCase
216,27, Private,248402, Bachelors,13, Never-married, Tech-support, Unmarried, Black, F,0,0,40, United-States, lowerCase
217,65, Private,111095, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, M,0,0,16, United-States, lowerCase
218,37, Self-emp-inc,57424, Bachelors,13, Divorced, Sales, Not-in-family, White, F,0,0,60, United-States, lowerCase
220,24, Private,278130, HS-grad,9, Never-married, Craft-repair, Own-child, White, M,0,0,40, United-States, lowerCase
221,38, Private,169469, HS-grad,9, Divorced, Sales, Not-in-family, White, M,0,0,80, United-States, lowerCase
222,48, Private,146268, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, M,7688,0,40, United-States, upperCase
223,55, Private,238638, HS-grad,9, Married-civ-spouse, Sales, Husband, White, M,4386,0,40, United-States, upperCase
224,24, Private,303296, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, F,0,0,40, Laos, lowerCase
225,43, Private,173321, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, F,0,0,40, United-States, lowerCase
226,26, Private,193945, Assoc-acdm,12, Never-married, Tech-support, Not-in-family, White, M,0,0,45, United-States, lowerCase
227,46, Private,83082, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, F,0,0,33, United-States, lowerCase
228,35, Private,193815, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, M,0,0,40, United-States, upperCase
229,41, Self-emp-inc,34987, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, M,0,0,54, United-States, upperCase
230,26, Private,59306, Bachelors,13, Never-married, Sales, Not-in-family, White, M,0,0,40, United-States, lowerCase
231,34, Private,142897, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, M,7298,0,35, Taiwan, upperCase
232,22, Private,199698, Some-college,10, Never-married, Sales, Own-child, White, M,0,0,15, United-States, lowerCase
233,24, Private,191954, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, M,0,0,40, United-States, lowerCase
234,22, Private,399087, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Other-relative, White, F,0,0,40, Mexico, lowerCase
235,29, Private,423158, Some-college,10, Never-married, Tech-support, Not-in-family, White, F,0,0,40, United-States, lowerCase
236,62, Private,159841, HS-grad,9, Widowed, Other-service, Not-in-family, White, F,0,0,24, United-States, lowerCase
237,39, Self-emp-not-inc,174308, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, M,0,0,40, United-States, lowerCase
238,35, Private,186110, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, M,0,0,45, United-States, lowerCase
239,76, Self-emp-not-inc,174309, Masters,14, Married-civ-spouse, Craft-repair, Husband, White, M,0,0,10, United-States, lowerCase
240,63, Self-emp-not-inc,78383, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, M,0,0,45, United-States, lowerCase
242,43, Private,187728, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, F,0,1887,50, United-States, upperCase
243,58, Self-emp-not-inc,321171, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, M,0,0,40, United-States, lowerCase
244,66, Private,127921, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, M,2050,0,55, United-States, lowerCase
245,41, Private,206565, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, M,0,0,45, United-States, lowerCase
246,26, Private,224563, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, M,0,0,40, United-States, lowerCase
247,47, Private,178686, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, M,0,0,40, United-States, lowerCase
248,55, Local-gov,98545, 10th,6, Married-civ-spouse, Adm-clerical, Husband, White, M,0,0,40, United-States, lowerCase
249,53, Private,242606, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, M,0,0,40, United-States, lowerCase
